StudentID,StudyHours,Attendance,AssignmentsCompleted,SleepHours,InternetHours,Age,PreviousGPA,cat__Scholarship_NO,cat__Scholarship_No,cat__Scholarship_No ,cat__Scholarship_SI,cat__Scholarship_SÍ ,cat__Scholarship_Sí,cat__Scholarship_si,cat__Program_ADMINISTRACIÓN ,cat__Program_Administracion,cat__Program_Administración,cat__Program_Contador Auditor,cat__Program_INGENIERÍA CIVIL,cat__Program_INGENIERÍA INFORMÁTICA,cat__Program_Ingenieria Informatica,cat__Program_Ingeniería Civil,cat__Program_Ingeniería Civil ,cat__Program_Ingeniería Industrial,cat__Program_Ingeniería Informática,cat__Program_Ingeniería informática ,remainder__Scholarship_Normalized,FinalGrade
STU-14530,-0.22781112180162497,-0.05814900398968065,0.18489544643333106,-1.5022895450841345,-1.0914194058322912,-0.6,0.5312499999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,4.09
STU-14655,-0.982338356088577,0.1314269280696351,-0.6354579025299287,0.08922761150407593,0.25920083435955554,0.8,0.4895833333333331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,4.62
STU-12994,-0.47018718868151155,-1.132412618992469,-1.12484367190239,1.409848230800676,0.9082853187235985,-0.4,-0.6458333333333335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,2.58
STU-10322,-0.05709406599926974,-0.5496421611804982,-0.19813444904815403,0.14002071224625254,1.950754339065849,0.4,-0.17708333333333326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,2.61
STU-10564,1.0135758642179697,-0.4934715146444045,1.0781360376435534,-0.9435654369201881,-1.2159911755587236,1.2,0.145833333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,4.25
STU-13999,-0.41749673935979703,-1.3360312126858083,-1.3286304512459373,0.3685896655860491,0.2755918566919808,-1.0,1.072916666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.52
STU-10173,0.44030377559771544,0.888727609047326,-0.7261950816536981,-0.1816689257875346,0.3378777415551972,0.4,1.2812499999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.76
STU-14145,2.3006981602488126,1.5116199572422198,0.7397309843540857,0.9611758409114468,0.937789158921964,0.2,1.1770833333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,6.2
STU-13109,-0.6366890085381297,-0.44231610440617736,0.1335768779125108,-0.2917206440622512,-0.6685310296557178,0.4,-0.3645833333333339,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,3.91
STU-12215,0.32860002303568075,1.3611628683062549,1.0781360376435534,-1.7816515991661077,-1.4159616480143122,-0.8,0.05208333333333315,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sí,4.99
STU-11673,-1.1551630298638007,-1.7793781014171182,-2.7484069929534756,1.443710297962128,1.0689173375813668,0.4,-0.9166666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,2.57
STU-12193,-0.6219356827280496,0.48851175247765855,-0.9597317557919244,0.7664689547331015,-0.37021442320557685,-0.4,0.16666666666666682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,4.32
STU-14617,0.23164959628372617,-0.30489862984466237,1.0781360376435534,-1.8493757334890102,1.0754737465143367,0.2,0.08333333333333341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sí,3.71
STU-10533,0.24218768614806885,0.314984576571512,-0.0025366468759287965,-0.5456861477731357,0.6820892105361291,-0.4,-0.8645833333333335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,3.98
STU-14192,-1.0476745132475032,-0.8515593863120016,-2.140058831770794,1.6553482177211984,0.5181789872118756,-0.2,-1.2812500000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,2.52
STU-11985,-2.3248910048058637,-1.8004420938681525,-0.9857629137372677,0.3347275984245978,-0.7111476877200236,-0.2,-0.7604166666666672,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,3.46
STU-13649,1.154786268400165,-0.5355994995464748,1.0781360376435534,1.2828654789452332,-1.6192103249363867,0.4,0.9895833333333336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,5.11
STU-14038,0.33070764100854927,0.7252309057369098,1.0781360376435534,-0.579548214934587,0.4690059202145996,-0.8,-0.4479166666666673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,4.29
STU-13059,0.17895914696201162,-2.4519212889608806,-0.3030028281993955,0.038434510761898584,0.954180181254389,0.8,0.7291666666666669,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,3.58
STU-13506,0.002430566754824973,-0.00254378831383569,0.37455102574940735,0.8595896394270921,0.5542392363432115,0.2,-0.45833333333333376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,2.74
STU-11411,0.06514777642710802,-0.6860565884824397,-1.9117283892216361,-2.306513640168603,1.0558045197154262,1.0,1.1562499999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.03
STU-13000,1.040974897865261,0.517600123005279,1.0781360376435534,1.00350342486326,-0.7767117770497249,-0.4,-0.10416666666666723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,4.38
STU-10378,-0.565029997460598,-0.7903735034780426,0.304638772981912,-1.2144619742117986,-1.1078104281647163,0.0,0.8124999999999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,3.89
STU-13326,0.8660426061171692,0.3300302854651091,0.971036416382711,-0.5626171813538617,-0.5046208063314646,-1.0,0.7187499999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,5.15
STU-11192,-2.021394016712788,0.38620093200120287,-1.1568248088066688,0.0722965779233499,-1.238938606824119,1.0,-0.19791666666666707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,3.69
STU-12137,-0.3964205596311113,-1.6138753035875562,-0.6785952499822124,-1.5022895450841345,2.0294312462614905,1.0,0.40624999999999967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,4.01
STU-10611,1.0620510775939473,0.4433746257968688,1.0781360376435534,-0.5541516645634983,-0.0817324301548912,-0.6,0.8229166666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sí,5.26
STU-10420,-1.1361944681079836,0.27486268618858894,-0.8541196292708155,-0.5287551141924104,-0.7931027993821502,-0.2,-0.9479166666666669,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,2.66
STU-11914,0.49299422491942996,1.5116199572422198,1.0781360376435534,-1.0790137055659934,-0.6685310296557178,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,5.1
STU-12156,0.28644766357830925,-0.9829585773160777,-0.269534196555383,0.14848622903661593,-0.3079285383423605,1.4,0.20833333333333354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sí,4.04
STU-13582,1.0978805831327128,0.4694538545457699,1.0781360376435534,-1.4007033435997804,-0.9668476361058586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sí,4.6
STU-12642,0.3728600004659211,0.18458843282700946,0.8721180161904051,1.5283654658657557,1.7245582308783796,0.2,0.13541666666666657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.92
STU-13706,0.002430566754824973,-0.6900687775207327,1.0781360376435534,-0.2917206440622512,-1.6519923696012373,0.0,-0.6875000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,3.76
STU-14913,-0.2678558632861279,-0.00254378831383569,-0.3833275441450284,-1.205996457421436,-1.0127424986366496,-0.4,-0.9583333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sí,3.12
STU-10549,1.8840220870126938,1.5116199572422198,1.0781360376435534,-0.621875798886401,1.2295493564391349,0.6,-0.6458333333333335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.55
STU-10758,0.8154597747683232,-0.7081236281930477,1.0781360376435534,-1.1721343902599848,2.058935086459856,-1.0,-0.07291666666666696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,4.2
STU-11896,-0.12453784113106442,-0.7432302822781071,-1.7600039257687754,0.5209689678125796,-0.124349088219197,0.4,-0.47916666666666663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,2.94
STU-12682,0.2527257760124119,0.8516148604431208,0.2391890044336196,-0.9774275040816395,0.22314058522821972,-0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,4.91
STU-10071,-1.1404097040537207,-1.8596218821829658,-1.0965812718474446,-1.0366861216141794,-1.081584792432836,1.4,-0.8854166666666673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sí,2.87
STU-12224,0.10097728196587388,1.2468154807149217,1.0781360376435534,-0.5033585638213217,-0.5439592599292854,-1.0,-0.5416666666666672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,3.61
STU-13314,0.6194513032915452,-0.00254378831383569,-0.1371471647190636,0.31779656484387175,-0.6062451447925015,-1.0,-0.5416666666666672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,3.88
STU-11726,-1.0476745132475032,-0.8676081424651708,-0.19887819641802137,-0.3255827112237025,1.1607070626429483,-0.8,-0.5729166666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,2.99
STU-14904,-2.3248910048058637,-0.13036840667894367,-0.9887379032167359,0.4871069006511283,-1.6651051874671774,1.2,-1.2395833333333337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,2.51
STU-14527,-0.8874955473094909,1.00006585485994,-0.0025366468759287965,-0.20706547615862328,-0.5046208063314646,-1.0,-1.0312500000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,3.38
STU-13050,0.29487813546978336,-0.43429172632959273,0.4035571731742189,0.038434510761898584,2.196619674052229,-0.2,-0.5000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,5.09
STU-12544,-0.906464109065308,-2.1053684607783754,-1.3449928933830104,0.6056241357162083,0.1379072690996081,0.0,-0.8437500000000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,3.19
STU-10627,0.9229482913846209,-1.4955157269579313,0.5649503524353489,0.3516586320053231,1.3967377842298732,0.4,-0.06250000000000053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sí,3.98
STU-10450,0.256941011958149,0.5938317147328337,-0.0025366468759287965,-1.0959447391467194,-0.3144849472753308,0.6,-1.2812500000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,3.93
STU-14977,0.543577056268276,0.6820998735752674,-0.0025366468759287965,0.4871069006511283,0.0004908484836258368,0.0,0.291666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,5.5
STU-13284,-1.6167313659220202,-0.7913765507376148,-0.8124697765582655,-0.029289623561003297,-1.396292421215402,0.0,-1.2812500000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,2.24
STU-13671,-0.3605910540923454,-0.2507340778277144,-2.0076717999344744,0.8765206730078189,-0.6259143715914119,0.2,0.23958333333333287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,3.39
STU-13436,-0.322653930580711,-1.5737534132046331,-0.5402582391869575,0.23314139694024386,-0.8685015021113067,0.4,-0.39583333333333326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,4.75
STU-10371,1.0894501112412387,0.4363532949798578,0.23695776232401863,1.5368309826561184,-0.6521400073232926,-1.0,0.20833333333333354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sí,4.81
STU-14491,-0.7863298846117989,0.5125848867074139,-0.0025366468759287965,1.6807447680922865,-0.5046208063314646,-0.4,-0.16666666666666682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,4.01
STU-10787,-0.9844459740614456,-0.06115814576840006,-1.5874545359596406,1.3082620293163225,-0.9799604539717989,-0.2,-0.6250000000000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,3.54
STU-11541,-2.141528241166297,-1.4894974434004924,-1.8343786627554717,-0.42716891270805646,-1.5208641909418346,-0.6,-0.1250000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,2.94
STU-13577,-0.7757917947474562,-0.999007333469247,1.0781360376435534,-0.7403930339514809,0.23953160756064526,0.4,-0.7500000000000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,3.54
STU-13293,-0.03180265032484655,-0.14039887927467407,0.6936186474223337,-0.2917206440622512,-0.9406220003739781,1.0,-0.18750000000000064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.05
STU-11502,0.8007064489582431,-0.29687425176807775,0.22877654125548208,1.9347102718031717,-0.9373437959074931,-1.0,-0.22916666666666735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.38
STU-11248,-0.0844930996465611,-1.7201983131023049,-0.18474699639054926,0.32626208163423515,-0.5242900331303748,-0.2,1.0104166666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,3.95
STU-11483,0.002430566754824973,-1.471442592728176,-2.0240342420715476,0.758003437942739,-0.10795806588677175,-0.2,-1.1770833333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,2.97
STU-12355,-1.2162839510769896,-1.4614121201324455,0.1767142253647945,-0.4610309798695078,0.6066905078069725,-0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,2.9
STU-13295,-0.6345813905652612,-1.132412618992469,-0.5261270391594842,-0.5541516645634983,-0.6390271894573523,0.0,-0.010416666666666446,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,4.48
STU-11954,-1.1425173220265892,-0.13638669023638247,-0.41977116526850916,0.6902793036198362,-0.12762729268568201,0.2,0.4479166666666664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sí,4.98
STU-10190,-2.0192863987399194,-2.2548225024547666,-2.7484069929534756,0.2416069137306065,-0.5013426018649796,-1.0,0.4479166666666664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,2.12
STU-14114,2.3006981602488126,-0.00254378831383569,1.0781360376435534,0.8341930890560042,0.0004908484836258368,0.0,1.2812499999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,4.76
STU-12753,-0.3879900877396371,-0.10629527244918838,-0.645126618338199,1.12202065992834,-0.9930732718377391,0.8,-0.4479166666666673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,3.73
STU-10158,0.002430566754824973,-1.191592407307282,-1.1694685140944072,1.1897447942512427,-0.48822978399903927,-0.8,-1.0312500000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,2.73
STU-13760,-0.11189213329385282,-0.6930779192994521,-0.5053021128032102,0.14002071224625254,1.1475942447770084,-0.4,-0.45833333333333376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,3.44
STU-14372,0.6974331682876825,-0.18553600595546382,1.0781360376435534,1.155882727089792,-0.7603207547172995,-1.0,0.7395833333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,5.85
STU-12012,-0.0549864480264012,-0.36207232364032976,0.8319556582175887,0.8426586058463668,-0.7472079368513592,-0.6,-0.05208333333333315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,4.85
STU-14911,-0.22359588585588752,-0.3841393633509378,-1.3107805143691307,-0.5287551141924104,-1.497916759676439,-1.0,-0.37500000000000033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,3.61
STU-10960,0.10097728196587388,0.46443861824790467,-0.7291700711331653,0.4701758670704031,0.2723136522254958,-0.2,0.6041666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.98
STU-10689,0.48456375302795585,1.4022878059487516,-0.0025366468759287965,0.3516586320053231,0.7214276641339497,-0.4,0.40624999999999967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,4.63
STU-14852,0.948239707059044,-0.00254378831383569,-0.5350520075978882,0.30086553126314647,-0.7865463904491801,0.0,-0.29166666666666696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,4.2
STU-12737,0.8112445388225862,0.888727609047326,1.0781360376435534,1.545296499446481,-1.3995706256818872,0.2,-1.2812500000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,4.34
STU-13404,-0.615612828809444,-1.2628087627369715,0.5768503103532211,-1.4938240282937718,-0.7767117770497249,1.4,-0.5520833333333336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sí,4.47
STU-11485,-0.558707143541992,-1.0541749327457672,-1.350942872341946,0.7156758539909249,-0.783268185982695,-0.6,-0.4166666666666671,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sí,2.87
